Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9996584752506104,0.999676880626815,0.9996872670651522,0.9996878343535153,0.9996854526204659,0.9996270982579686,0.9994217297763894,0.999045888103352,0.9990424406137267,0.9991272773263555,0.9990049379672693,0.9992612875587018,0.9990345180641135,0.9989296460384941,0.9991655950341544,0.9991211993289911,0.9993755533873339,0.9987306513097358,0.9986737780309353,0.9988033375499763,0.998851478867469,0.9989281908097569,0.9990081975808738,0.9991233113181228
2,0.9983836996927857,0.9984125763015969,0.9984302230695068,0.9984256926694635,0.9984121510726323,0.9980554946644392,0.9968925659493963,0.9947529680037136,0.9946971838767433,0.994862561057764,0.9940343766193029,0.9953929029126166,0.9941128560926321,0.9936722756805787,0.9949906289630268,0.9947886976425508,0.9964438504910624,0.9928385536502171,0.993144347317988,0.9940645817124788,0.9943190009634476,0.9946131005445052,0.9947973167298871,0.9952561506125337
3,0.9983333478580817,0.9981817453374537,0.9981527315397649,0.9981456728567246,0.9981116455805736,0.9976476662860067,0.9957174193109584,0.9927125614019607,0.9926021522210555,0.9927105202943122,0.9912058953954754,0.9929375631077417,0.9915288170322828,0.9905179972909384,0.9925346279303318,0.9923336050793455,0.9950868122290836,0.9900865610325794,0.9913815479062907,0.9930947220258797,0.9933329907490707,0.9934137173657531,0.9934326807869667,0.9935492832117515
4,0.9984005646389152,0.9980754255510108,0.9979576817293269,0.9979756863352344,0.9979048115861742,0.997314885745475,0.9947032173136551,0.990781045703364,0.9905849750369063,0.990552972103008,0.9883915346517048,0.9904096003223337,0.9889537805154243,0.987345182997139,0.9901075776580587,0.9899438961799032,0.9937800463369143,0.9873959400211073,0.9899216330169375,0.9923931427540106,0.9925716617700965,0.992494609294153,0.9922712159886192,0.9919620915453993
5,0.9989414798117648,0.9981876551135185,0.9978372164246558,0.9979222990867647,0.9977570430680563,0.9969301426909776,0.9928537171865198,0.9870525260167962,0.9866249553729844,0.9862875894368541,0.9827731821350585,0.9852813383953268,0.9838225936699313,0.9809653227733088,0.9852359179149273,0.9851853326567555,0.9913278709110535,0.9821462132860763,0.9877860024666697,0.9919456044647976,0.9916576070702064,0.9913497148008181,0.9904887043958283,0.9889810684058861
6,0.9979406834554772,0.9972120479872778,0.9970076559148313,0.9971546654943693,0.9969348169625698,0.9960042095737467,0.9918969107212268,0.9854428477372797,0.9850246736266658,0.984763965879676,0.9814842740430659,0.9843806961162685,0.9828356418697649,0.9799582776511228,0.9843377177960487,0.9841142942601385,0.9900206694354527,0.9801925301172109,0.9852353313606159,0.989005008535606,0.9885660099159124,0.9884119910718587,0.9883753609640851,0.9874794341046106
7,0.9964928202297414,0.9958002454943266,0.9958017294322722,0.9960720261850953,0.9957410274993942,0.9947531668606365,0.9906030070705824,0.9832521078189487,0.982802582105057,0.9829407850517677,0.9800586048686444,0.9838592078678117,0.9820898103030289,0.9790588963389623,0.9835414356559795,0.9829567470149746,0.9885119340537557,0.9773688754797512,0.9815781227597541,0.9847944671433961,0.9843096461702873,0.9844737637915139,0.9855008779967845,0.9853591864471459
8,0.9946834220330047,0.9937893745168931,0.99407964302186,0.9945458945545701,0.9941221829449568,0.9930951023293031,0.9889549537572729,0.9804680552415594,0.9797888953186296,0.9802600795691682,0.9780349885769094,0.9825347964923262,0.9807021556929567,0.9777277327774706,0.9821550238156744,0.9811893003125169,0.9863513086939515,0.9736459088201519,0.9770204670790322,0.9794994451350206,0.9788088790059714,0.9794922912459291,0.9817348835902555,0.9826439875178566
9,0.9929777337995186,0.9918788439394481,0.9924613582309826,0.9931201732839806,0.9926014018892394,0.9915490222832205,0.9874003892911364,0.9779268763117759,0.9771267478026932,0.9777461776364953,0.9760895266937492,0.9813198172449287,0.9793994201814742,0.9765493959363737,0.9809655647480604,0.9795268577421843,0.9843961031173809,0.9703424007964019,0.972854362234444,0.9745413886150383,0.9736703332352029,0.9748013394462921,0.9782246179525687,0.9801102226365134
