Bus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9993609688816204,0.999421481181249,0.9994571991130572,0.9994581024979342,0.9994527170191514,0.9993971567188815,0.9992381940276078,0.9988520616774283,0.9988010049062378,0.9989626782198526,0.9990330896351282,0.9994158873311069,0.9991389351225182,0.9990910281148311,0.999242089963965,0.9990817372403522,0.9991197585337918,0.9987243851916677,0.9983991855948257,0.9983149743529783,0.9982635360507995,0.998513039715175,0.9988369889878703,0.9991660105575644
2,0.9964958174719095,0.9967918619259487,0.9969702487609691,0.9969678502301897,0.9969352466939136,0.9965963917412175,0.9957306426214808,0.9935262398801868,0.9931816198473792,0.9938475833502805,0.9942463960938198,0.9964423435060137,0.994830430734315,0.9947331343232845,0.995523989460872,0.9945608094199336,0.9948608766018999,0.9928105699101335,0.9914070795849883,0.990965267027191,0.9905882319545168,0.9919783237769063,0.9937101684046984,0.9955262153416655
3,0.9952663773358333,0.9955484966839773,0.9957805865525754,0.9957769972048655,0.9957119782264373,0.9952772051109645,0.9938343536033502,0.9907257838483381,0.990169289445143,0.9911133190848678,0.9916086272552074,0.9947607907435365,0.992789991120988,0.9923058117194151,0.9934843067226914,0.9920027528264029,0.9925849114595606,0.9900619809957052,0.988570796047143,0.9880639225589732,0.9872770569957431,0.9891350745771778,0.9916659208796933,0.9939863331263638
4,0.9941060886128016,0.9943881077974988,0.9946358732926786,0.9946588087394014,0.9945444839344829,0.993995568004271,0.9920698410125147,0.988002599231616,0.9871998138486562,0.9883545954850363,0.9889974633513626,0.9930514122201364,0.9907904366024736,0.9898947126112957,0.9914990726536937,0.9895089618700246,0.9903299364579146,0.9873748334399062,0.985993032881344,0.9853509875052275,0.9840951921875121,0.9865042964687982,0.9897957504706214,0.9925715248628098
5,0.9914927192403578,0.991812497627129,0.9921183868622422,0.9922157829552011,0.9919744992232075,0.9911851468906038,0.9881289673043128,0.9817355619139528,0.9804044425713538,0.9819487335320362,0.982948395575368,0.988993237494668,0.9861188616567484,0.9844069548229049,0.9868525854879219,0.9837807747461234,0.9851485557767955,0.9809666542471779,0.9799689947648935,0.9791661230498256,0.9764679880174154,0.980229734275847,0.9852613158359057,0.9892453730377284
6,0.9919747058280489,0.992208964327364,0.9924588230771305,0.992561115100294,0.9923239606492954,0.9914499295228153,0.9882648498338358,0.9819135964977563,0.9799687878896689,0.9809069781596644,0.9819692567194194,0.9882143824519234,0.9853181827889478,0.9834311642817484,0.9860069318756821,0.9827485084678885,0.9844225421539092,0.9815232378088292,0.9808338033293742,0.9801043489495275,0.977896872780289,0.9810807040041913,0.98602146939814,0.9897450836170952
7,0.992078047980999,0.9920314897274425,0.9920844805707475,0.9922014107846252,0.9920009556228213,0.9910285644684029,0.9872600278202706,0.9808499703587502,0.9775494050815027,0.9778651872711117,0.9788521923025386,0.9855780701212883,0.9824923480547372,0.9803230060116096,0.9831934857660592,0.9798382368353173,0.9820029107024656,0.9810177774055374,0.9819836928619139,0.9813175249785608,0.9792769460707369,0.9825312683937077,0.9872892368534804,0.9903380814572983
8,0.9932900475653524,0.9925627599175713,0.9922526735514737,0.9923879520379563,0.9923231064347088,0.9912742899149005,0.9867705963621776,0.980782405036374,0.9751582900100904,0.9740438666346037,0.9749731112387654,0.9817633919042992,0.9786926688537654,0.9762880136539586,0.9793688287886011,0.9759290261635953,0.9791693015062555,0.9820311687424496,0.9859352695382092,0.9856418609570221,0.984130307185139,0.9870568185044388,0.9907975533980871,0.9924698714197516
9,0.9946288374589861,0.9932120875691169,0.9925358432378748,0.9926842525306916,0.9927551314948538,0.9916431673164305,0.9863784408829894,0.9809762541469068,0.9731237612598171,0.9703809427951301,0.9711573030830112,0.9780449282985288,0.9749625719820746,0.9723835706233932,0.975724127079971,0.9721043805834819,0.9765399631520013,0.9835007399718015,0.9903534153063025,0.9903873486106336,0.9894329964942157,0.991956463438048,0.9946253935386771,0.9948238789577882
10,0.9948024803812063,0.9932676312720009,0.9925244448200696,0.9926681870761832,0.9927832235338425,0.9916454039854088,0.9862372095390286,0.9809111702806339,0.97267880637892,0.9696894370123249,0.9704228304628111,0.9773248327067956,0.9742317233045262,0.9716278269023533,0.9750238267245185,0.9713939890792629,0.9760338744528679,0.9836646417209672,0.9910757393502652,0.9911621614975276,0.9902263314469506,0.9927493179441597,0.9952417358927083,0.9951943122756105
11,0.9951623838116167,0.99339739025446,0.9925301477830245,0.9926664422005914,0.9928651047595469,0.9916855492731474,0.9860096091306555,0.9808592482270182,0.9718924105522081,0.9684171143909841,0.9690705792388877,0.9759715202677438,0.9728751150558546,0.970220347040503,0.9737319470225065,0.9701047830788359,0.9751112419181726,0.9840574104235932,0.9925646170183464,0.9927511945013019,0.991867686952409,0.9943663548012565,0.9964831421651116,0.9959425662923188
12,0.9977118399618965,0.9949383819342145,0.9936549698913604,0.993800446093111,0.9943187937156132,0.9930451167229829,0.9863530867061644,0.982285966371123,0.9700515573631181,0.9641038700166754,0.9644025815157802,0.9711517987365174,0.9681324473018493,0.9652503714261907,0.9691894036784243,0.9655803576138628,0.9722873048609891,0.9875391144134021,1.0005561096797304,1.0015990124414669,1.001782288444728,1.0032520209041642,1.0032378861810984,1.0003349984477137
13,0.9991894013032103,0.9960018506944328,0.9945402463438844,0.9946847312561321,0.9953331485751103,0.9940381560357987,0.9870145592447858,0.9835723449405719,0.9699229854072475,0.9628241463903857,0.9630566006928618,0.9696595574602699,0.9667063457633789,0.9637672902436845,0.9677828605650284,0.9641608500952443,0.9716524636259928,0.9898052674509913,1.0045624325490097,1.0060735286357774,1.0069662466806286,1.0077658363169555,1.006657970583589,1.0026190443821352
14,1.00070475308771,0.9972704568429585,0.9954900661778087,0.9955835111246026,0.9963519939785342,0.9950312993169481,0.9875846730101936,0.9847949917108054,0.9699589824992791,0.9618957688234813,0.9617674606074006,0.9681802357553814,0.9652852983429007,0.9621820301334032,0.9662982246502843,0.962749823001133,0.9710038976412473,0.9920686239176774,1.008715017891655,1.0107909284842291,1.0121579678371777,1.012433336137344,1.0102191728206833,1.0049093197551515
15,1.0024907358011843,0.9987407915438865,0.9965708420113615,0.9965875039427736,0.9975019726415159,0.9961575865549055,0.9881834906499759,0.9861918863909177,0.9699516494352111,0.9606943565006436,0.9600786411020353,0.9662367215306524,0.9634385420544458,0.9601345760117932,0.9643890459448463,0.9609374931225974,0.9701426744403544,0.99477135788383,1.0138578901494226,1.016601173208755,1.0184442288836502,1.018100905951277,1.0145724280914432,1.0077249729847897
16,1.00709156852203,1.0027500731812935,0.9997806195007334,0.9996374134253486,1.0008208332593322,0.9994932730628447,0.9907414324339223,0.991068045607614,0.9718389985023951,0.9599215046798693,0.9583239227449879,0.9639137371084573,0.9614358163316122,0.9575657420168404,0.9620463662174373,0.9586430982764845,0.9701354989861118,1.0023005008897568,1.0259644987837409,1.0302213250722365,1.033761734442683,1.0314892266799394,1.0247117711274878,1.014573698744973
